     pageID bytes
1  13143885   628
2   3042586 11433
3   3193309  4156
4   2807448  1713
5  39456694  7880
6   3096195  3398
7  20974765  1402
8  13268640  1081
9  17995105  3668
10   376485 23627
11  1271216  4306
12 48759236  1036
13  7490946  3363
14 11543331  7991
15 55194251  7710
16 34943642  5329
17  8968222   914
18 43744819   265
19   367841 10070
20 52771051 35151
